1.000084  0.001257
0.993984  0.002524
0.975825  0.006231
0.946027  0.012110
0.905287  0.019752
0.854565  0.028653
0.795069  0.038260
0.728228  0.048000
0.655665  0.057302
0.579155  0.065609
0.500588  0.072381
0.421921  0.077122
0.344680  0.079198
0.271106  0.077802
0.203313  0.072947
0.143088  0.064941
0.091996  0.054325
0.051324  0.041808
0.022051  0.028152
0.004833  0.014049
0.000000  0.000000
0.007479 -0.012828
0.026892 -0.023408
0.057669 -0.031651
0.098987 -0.037507
0.149805 -0.041013
0.208902 -0.042346
0.274904 -0.041834
0.346303 -0.039941
0.421644 -0.037174
0.499412 -0.033493
0.577279 -0.029138
0.653352 -0.024500
0.725762 -0.019880
0.792716 -0.015499
0.852541 -0.011510
0.903730 -0.008033
0.944979 -0.005174
0.975232 -0.003035
0.993705 -0.001708
0.999916 -0.001257
